City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,tacoaleche,22.8167,-102.4167,24.25,46,10,6.71,MX,1693971599
343,haiku-pauwela,20.9219,-156.3051,28.01,65,40,8.75,US,1693971599
344,sault ste. marie,46.5168,-84.3333,23.31,93,0,2.06,CA,1693971307
345,ulsteinvik,62.3432,5.8487,10.17,89,30,2.24,NO,1693971600
346,karabash,55.4808,60.2157,6.33,65,8,0.26,RU,1693971600
347,sassandra,4.95,-6.0833,22.67,96,79,2.08,CI,1693971601
348,muynoq,43.7683,59.0214,22.13,42,47,2.87,UZ,1693971601
349,marsh harbour,26.5412,-77.0636,27.63,60,60,4.19,BS,1693971311
350,nabire,-3.3667,135.4833,28.02,83,39,2.44,ID,1693971601
351,colonia,50.9333,6.95,19.41,75,0,2.57,DE,1693971309
352,koryazhma,61.3143,47.1691,12.73,72,100,4.69,RU,1693971602
353,kulhudhuffushi,6.6221,73.07,27.68,78,100,6.47,MV,1693971602
354,nova vicosa,-17.8919,-39.3719,22.72,88,16,3.97,BR,1693971603
355,brasileia,-11.0161,-68.7481,25.87,64,92,1.66,BR,1693971603
356,mansa,29.9833,75.3833,34.2,42,0,2.31,IN,1693971603
357,lompoc,34.6391,-120.4579,18.34,84,100,3.09,US,1693971603
358,galliano,29.4422,-90.2992,26.67,73,0,1.54,US,1693971604
359,manado,1.487,124.8455,33.43,52,40,3.6,ID,1693971604
360,luganville,-15.5333,167.1667,25.83,80,93,7.16,VU,1693971604
361,askino,56.0901,56.5783,12.03,74,10,2.45,RU,1693971605
362,humaita,-7.5061,-63.0208,25.72,33,12,0.83,BR,1693971605
363,chegdomyn,51.1167,133.0167,18.2,40,17,1.9,RU,1693971605
364,pokrovsk,48.282,37.1758,15.51,66,1,2.5,UA,1693971606
365,bereket,39.2446,55.5154,25.49,19,0,5.93,TM,1693971606
366,kerrville,30.0474,-99.1403,31.25,49,0,3.6,US,1693971606
367,rio tuba,8.5061,117.4317,29.29,73,37,3.99,PH,1693971606
368,abepura,-2.6333,140.5833,35.45,44,20,4.63,ID,1693971606
369,gubkinskiy,64.434,76.5026,10.13,61,98,4.26,RU,1693971607
370,chettipalaiyam,10.9,77.0667,25.97,83,75,4.12,IN,1693971607
371,miranda do douro,41.4969,-6.2731,16.71,65,57,1.88,PT,1693971607
372,olinda,-8.0089,-34.8553,25.85,69,20,4.12,BR,1693971608
373,beau vallon,-20.4189,57.6953,20.68,83,40,2.06,MU,1693971470
374,vasind,19.4167,73.2667,28.03,77,69,1.15,IN,1693971608
375,bel ombre,-4.6167,55.4167,26.91,78,40,8.23,SC,1693971609
376,bissora,12.2231,-15.4475,26.04,95,99,4.03,GW,1693971609
377,hasaki,35.7333,140.8333,32.38,76,100,7.79,JP,1693971610
378,las heras,-46.5419,-68.9359,3.68,86,87,10.44,AR,1693971065
379,fortuna,40.5982,-124.1573,14.43,87,0,3.09,US,1693971610
380,wenchang,30.904,118.4887,30.93,60,16,4.77,CN,1693971610
381,susuman,62.7833,148.1667,12.35,37,93,1.36,RU,1693971611
382,magdagachi,53.45,125.8,17.83,38,100,2.41,RU,1693971611
383,mogok,22.9167,96.5,21.32,92,100,0.54,MM,1693971611
384,saipan,15.1355,145.701,31.39,70,20,4.63,MP,1693971610
385,codrington,-38.2667,141.9667,17.96,55,30,7.77,AU,1693971612
386,nizhniy lomov,53.5304,43.6766,16.35,68,51,1.27,RU,1693971504
387,xinyuan,37.3,99.0,17.78,47,48,2.76,CN,1693971612
388,taltal,-25.4,-70.4833,17.4,66,67,0.83,CL,1693971021
389,sangin,32.0728,64.8359,29.78,9,0,1.66,AF,1693971612
390,vernon,50.2581,-119.2691,19.2,45,66,1.03,CA,1693971613
391,rimouski,48.4488,-68.524,13.1,98,26,0.94,CA,1693971613
392,wodonga,-36.1167,146.8833,18.87,100,1,3.17,AU,1693971613
393,saurimo,-9.6608,20.3916,18.22,80,2,2.1,AO,1693971613
394,new norfolk,-42.7826,147.0587,16.51,61,100,3.66,AU,1693971614
395,kalanchak,46.2562,33.2907,17.63,60,42,3.75,UA,1693971614
396,turgen,43.4006,77.5933,16.07,37,4,2.73,KZ,1693971614
397,itteville,48.5154,2.3438,22.09,43,10,0.96,FR,1693971614
398,uacu cungo,-11.3634,15.1208,15.08,90,1,0.97,AO,1693971615
399,bolivar,37.6145,-93.4105,27.42,79,72,5.03,US,1693971615
400,komotini,41.1228,25.3964,20.43,70,99,6.73,GR,1693971615
401,pemangkat,1.1667,108.9667,27.0,79,100,1.95,ID,1693971615
402,fort-shevchenko,44.5086,50.263,24.92,37,65,7.25,KZ,1693971616
403,kutoarjo,-7.7169,109.9128,30.05,52,31,5.41,ID,1693971463
404,vorkuta,67.5,64.0,13.01,51,73,4.38,RU,1693971616
405,warrnambool,-38.3833,142.4833,19.63,56,15,8.65,AU,1693971616
406,key west,24.5557,-81.7826,30.0,72,100,5.66,US,1693971617
407,sinabang,2.4803,96.3801,25.97,86,100,3.94,ID,1693971617
408,eyl,7.9803,49.8164,28.03,60,78,11.82,SO,1693971618
409,pointe-noire,-4.7761,11.8635,23.04,94,75,2.06,CG,1693971618
410,hadibu,12.65,54.0333,26.29,83,95,2.45,YE,1693971619
411,oliver,49.1831,-119.5524,22.14,77,80,2.06,CA,1693971619
412,kruisfontein,-34.0033,24.7314,6.45,79,2,3.82,ZA,1693971619
413,ji'an,27.1172,114.9793,25.33,89,100,2.6,CN,1693971619
414,ventspils,57.3894,21.5606,15.96,100,100,5.14,LV,1693971620
415,pariaman,-0.619,100.12,27.03,82,89,2.44,ID,1693971620
416,sretensk,52.2453,117.7093,23.85,44,99,1.41,RU,1693971620
417,ploudalmezeau,48.5333,-4.65,18.14,100,0,0.0,FR,1693971621
418,lorengau,-2.0226,147.2712,29.56,69,64,3.8,PG,1693971621
419,mafinga,-7.25,35.0667,19.86,57,0,1.29,TZ,1693971621
420,yushu,44.8,126.5333,22.76,66,9,3.57,CN,1693971621
421,tarawa,1.419,172.984,33.05,66,20,4.63,KI,1693971622
422,sake,-1.5736,29.045,16.47,94,58,1.04,CD,1693971622
423,qamdo,31.1667,97.2333,13.5,50,37,2.21,CN,1693971622
424,muscat,23.6139,58.5922,30.01,68,1,0.85,OM,1693971622
425,port shepstone,-30.7414,30.455,14.66,40,2,6.25,ZA,1693971623
